row_index	anonymous_id	image_path	image	variant	paired_anonymous_id	b3_paired_anonymous_id	pair_id	label	slide_id	x	y	patch_level	patch_size	question
11	000011	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000011.jpg	roi_000011.jpg	perturbed	000014	none	tissue_pair_000007	tissue	PIT_01_03534_01	6800	8100	2	256	Does this ROI contain analyzable histological tissue? Answer briefly.
12	000012	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000012.jpg	roi_000012.jpg	original	none	000021	background_000002	background	PIT_01_00763_01	6144	8196	2	256	What is the dominant content in this ROI? Answer briefly.
13	000013	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000013.jpg	roi_000013.jpg	perturbed	000020	none	tissue_pair_000010	tissue	PIT_01_09174_01	31778	20624	2	256	Is this ROI informative for histological image analysis? Answer briefly.
14	000014	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000014.jpg	roi_000014.jpg	original	000011	000003	tissue_pair_000007	tissue	PIT_01_03534_01	6800	8100	2	256	Does this ROI contain analyzable histological tissue? Answer briefly.
15	000015	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000015.jpg	roi_000015.jpg	original	none	000025	background_000010	background	PIT_01_09174_01	4096	4096	2	256	Is this ROI informative for histological image analysis? Answer briefly.
16	000016	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000016.jpg	roi_000016.jpg	perturbed	000032	none	tissue_pair_000008	tissue	PIT_01_09174_01	14737	19424	2	256	What is the dominant content in this ROI? Answer briefly.
17	000017	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000017.jpg	roi_000017.jpg	perturbed	000025	none	tissue_pair_000009	tissue	PIT_01_09174_01	14737	15328	2	256	Is this ROI informative for histological image analysis? Answer briefly.
18	000018	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000018.jpg	roi_000018.jpg	original	none	000020	background_000006	background	PIT_01_03534_01	16388	12294	2	256	Is this ROI informative for histological image analysis? Answer briefly.
19	000019	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000019.jpg	roi_000019.jpg	perturbed	000008	none	tissue_pair_000000	tissue	PIT_01_00763_01	9288	14899	2	256	Is this ROI informative for histological image analysis? Answer briefly.
20	000020	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000020.jpg	roi_000020.jpg	original	000013	000018	tissue_pair_000010	tissue	PIT_01_09174_01	31778	20624	2	256	Is this ROI informative for histological image analysis? Answer briefly.
21	000021	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000021.jpg	roi_000021.jpg	original	000029	000012	tissue_pair_000005	tissue	PIT_01_03534_01	6288	1296	2	256	What is the dominant content in this ROI? Answer briefly.
22	000022	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000022.jpg	roi_000022.jpg	original	none	000009	background_000005	background	PIT_01_03534_01	16388	0	2	256	Does this ROI contain analyzable histological tissue? Answer briefly.
23	000023	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000023.jpg	roi_000023.jpg	original	none	000028	background_000011	background	PIT_01_09174_01	45056	8192	2	256	What is the dominant content in this ROI? Answer briefly.
24	000024	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000024.jpg	roi_000024.jpg	original	000000	000035	tissue_pair_000011	tissue	PIT_01_09174_01	31778	16528	2	256	Does this ROI contain analyzable histological tissue? Answer briefly.
25	000025	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000025.jpg	roi_000025.jpg	original	000017	000015	tissue_pair_000009	tissue	PIT_01_09174_01	14737	15328	2	256	Is this ROI informative for histological image analysis? Answer briefly.
26	000026	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000026.jpg	roi_000026.jpg	perturbed	000028	none	tissue_pair_000006	tissue	PIT_01_03534_01	3488	13847	2	256	What is the dominant content in this ROI? Answer briefly.
27	000027	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000027.jpg	roi_000027.jpg	original	none	000010	background_000008	background	PIT_01_09174_01	4096	12288	2	256	Does this ROI contain analyzable histological tissue? Answer briefly.
28	000028	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000028.jpg	roi_000028.jpg	original	000026	000023	tissue_pair_000006	tissue	PIT_01_03534_01	3488	13847	2	256	What is the dominant content in this ROI? Answer briefly.
29	000029	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000029.jpg	roi_000029.jpg	perturbed	000021	none	tissue_pair_000005	tissue	PIT_01_03534_01	6288	1296	2	256	What is the dominant content in this ROI? Answer briefly.
30	000030	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000030.jpg	roi_000030.jpg	perturbed	000031	none	tissue_pair_000002	tissue	PIT_01_00763_01	11336	14899	2	256	What is the dominant content in this ROI? Answer briefly.
31	000031	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000031.jpg	roi_000031.jpg	original	000030	000034	tissue_pair_000002	tissue	PIT_01_00763_01	11336	14899	2	256	What is the dominant content in this ROI? Answer briefly.
32	000032	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000032.jpg	roi_000032.jpg	original	000016	000004	tissue_pair_000008	tissue	PIT_01_09174_01	14737	19424	2	256	What is the dominant content in this ROI? Answer briefly.
33	000033	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000033.jpg	roi_000033.jpg	perturbed	000007	none	tissue_pair_000004	tissue	PIT_01_03534_01	38679	14359	2	256	Is this ROI informative for histological image analysis? Answer briefly.
34	000034	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000034.jpg	roi_000034.jpg	original	none	000031	background_000001	background	PIT_01_00763_01	16384	8196	2	256	What is the dominant content in this ROI? Answer briefly.
35	000035	/mnt/research/data_slow/miccai_challenge/metric_zhengyang/scripts_final/utils_metric_B/rois/roi_000035.jpg	roi_000035.jpg	original	none	000024	background_000004	background	PIT_01_03534_01	20485	8196	2	256	Does this ROI contain analyzable histological tissue? Answer briefly.
